market,dimension,value,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,positive_in_both_seasons_min_n,bet_pool
rush_yards,prob_edge_q,EDGE_Q2,676,0.4985207100591716,-0.055535499330811484,344,-0.06152507477509199,332,-0.04932943320782203,False,LEAN_OR_STRONG
rush_yards,side,UNDER,1776,0.5332207207207207,0.0037008359106568633,917,-0.009839994597620284,859,0.018155948339166925,False,LEAN_OR_STRONG
rush_yards,side,OVER,844,0.46445497630331756,-0.10752008485548259,430,-0.1708800184573693,414,-0.04171145816753262,False,LEAN_OR_STRONG
rec_yards,home_away,HOME,2674,0.5175766641735228,-0.025825565239220964,1394,-0.03296826378199965,1280,-0.018046720107476037,False,LEAN_OR_STRONG
rec_yards,home_away,AWAY,2920,0.5092465753424658,-0.040861070875033635,1486,-0.09097479789227401,1434,0.011069890315774713,False,LEAN_OR_STRONG
rec_yards,week_bucket,MID_7_12,1838,0.515233949945593,-0.030948771212106495,956,-0.03397058168428675,882,-0.027673430156092513,False,LEAN_OR_STRONG
rec_yards,week_bucket,LATE_13_18,1793,0.5125488008923592,-0.03362138292737395,933,-0.08917711174573097,860,0.02665012287207616,False,LEAN_OR_STRONG
rec_yards,week_bucket,EARLY_1_6,1963,0.5119714722363728,-0.03627351366690874,991,-0.06606275280633862,972,-0.005901974585452953,False,LEAN_OR_STRONG
rec_yards,component_sd_q,SD_Q4_HIGH,1530,0.5183006535947713,-0.023530640832994283,821,-0.0616821276091519,709,0.020647597027690357,False,LEAN_OR_STRONG
rec_yards,component_sd_q,SD_Q3,2379,0.5119798234552333,-0.03535751967458803,1206,-0.07955054279502687,1173,0.010078785426221199,False,LEAN_OR_STRONG
rec_yards,component_sd_q,SD_Q2,1650,0.5115151515151515,-0.03832374764131422,838,-0.04345852649266574,812,-0.03302455468881107,False,LEAN_OR_STRONG
rec_yards,component_sd_q,SD_Q1_LOW,35,0.45714285714285713,-0.1434367147508697,15,0.12339447991621907,20,-0.34356011075118625,False,LEAN_OR_STRONG
rec_yards,prob_edge_q,EDGE_Q3,1242,0.5201288244766505,-0.01994185230927617,652,-0.06728006224398243,590,0.03237088138128059,False,LEAN_OR_STRONG
rec_yards,prob_edge_q,EDGE_Q2,1609,0.5208203853325046,-0.02021650161460272,839,-0.06674597314074952,770,0.030482493983367612,False,LEAN_OR_STRONG
rec_yards,prob_edge_q,EDGE_Q4_HIGH,1319,0.5140257771038665,-0.030557332510031895,644,-0.029663937596694823,675,-0.03140969743475645,False,LEAN_OR_STRONG
rec_yards,prob_edge_q,EDGE_Q1_LOW,1424,0.4978932584269663,-0.06374342356602965,745,-0.08345806915381188,679,-0.04211247958532604,False,LEAN_OR_STRONG
