season,week,team,opponent,player_clean_key,actual_pass_yards,actual_attempts,pred_pass_yards,pred_attempts,pred_ypa,actual_qb_attempt_share,actual_ypa,implied_pred_ypa,det_pass_yards
2024,5,NYJ,MIN,aaronrodgers,244,54,183.3808964,29.50618997,6.168294938,1,4.518518519,6.214997482,182.0028822
2024,5,PIT,DAL,justinfields,131,27,209.5995549,30.11719904,6.996007101,0.9642857143,4.851851852,6.959463747,210.7001383
2024,5,SEA,NYG,genosmith,284,40,244.3305528,34.60833006,7.088213243,1,7.1,7.059876983,245.3112234
2024,5,SF,ARI,brockpurdy,244,35,271.1712194,30.84565873,8.78255687,1,6.971428571,8.791228022,270.903752
2024,5,TB,ATL,bakermayfield,180,24,219.9115906,30.36484095,7.248881722,1,7.5,7.242309978,220.1111406
2024,5,WAS,CLE,jaydendaniels,238,25,204.1004176,27.87826492,7.34180695,0.8928571429,9.52,7.321130573,204.6768391
2024,6,ARI,GB,kylermurray,214,32,214.4120191,30.65919829,6.972476582,1,6.6875,6.993399405,213.7705421
2024,6,ATL,CAR,kirkcousins,225,30,255.2778981,34.53703351,7.367649116,1,7.5,7.391425151,254.4567444
2024,6,BAL,WAS,lamarjackson,323,26,240.937132,30.25410622,7.967955245,1,12.42307692,7.963782843,241.0633643
2024,6,BUF,NYJ,joshallen,215,25,200.3525841,27.48922017,7.312299651,1,8.6,7.288405524,201.0094151
2024,6,CAR,ATL,andydalton,221,38,136.87805,22.76059445,6.031744099,1,5.815789474,6.013817007,137.2860812
2024,6,CHI,JAX,calebwilliams,226,29,220.2324291,33.21215606,6.650282083,1,7.793103448,6.631078955,220.8702064
2024,6,CIN,NYG,joeburrow,208,28,219.5746297,32.23419659,6.772797261,1,7.428571429,6.811853651,218.3156784
2024,6,CLE,PHI,deshaunwatson,168,23,187.4620672,31.62051856,5.938160855,1,7.304347826,5.928494399,187.7677255
2024,6,DEN,LAC,bonix,216,33,187.0511944,30.71237063,6.117982199,1,6.545454545,6.090418633,187.8977368
2024,6,DET,DAL,jaredgoff,315,25,257.2026693,32.91222084,7.797805142,0.9259259259,12.6,7.814807469,256.6430849
2024,6,GB,ARI,jordanlove,258,32,228.3015798,31.64082795,7.212631981,1,8.0625,7.215411056,228.2136476
2024,6,HOU,NE,cjstroud,192,31,236.6931807,30.65026056,7.679998104,0.96875,6.193548387,7.722387229,235.393943
2024,6,JAX,CHI,trevorlawrence,234,35,214.793756,30.11977841,7.090479732,0.9722222222,6.685714286,7.131319265,213.5636783
2024,6,LAC,DEN,justinherbert,237,34,193.6543552,28.62302945,6.724913673,1,6.970588235,6.765683398,192.4874021
2024,6,NYG,CIN,danieljones,205,41,204.3661288,33.28779518,6.154951796,1,5,6.139371134,204.8847747
2024,6,NYJ,BUF,aaronrodgers,294,35,199.7118368,32.87020468,6.056430772,1,8.4,6.075771012,199.0761191
2024,6,PHI,CLE,jalenhurts,264,25,232.156348,33.26156013,6.982950347,1,10.56,6.979719145,232.2638229
2024,6,SEA,SF,genosmith,312,52,244.965205,34.45938933,7.103412918,1,6,7.108808652,244.7792713
2024,6,SF,SEA,brockpurdy,255,28,260.2432925,30.55944425,8.536732046,1,9.107142857,8.515969413,260.877787
2024,6,TB,NO,bakermayfield,325,36,210.5361484,29.06612462,7.275478137,1,9.027777778,7.243351191,211.4699542
2024,6,TEN,IND,willlevis,95,27,159.3444242,23.5935608,6.76801878,1,3.518518519,6.753725117,159.6816626
2024,6,WAS,BAL,jaydendaniels,269,35,207.4217501,27.48976521,7.549902528,1,7.685714286,7.545417306,207.5450478
2024,7,ARI,LAC,kylermurray,145,26,211.6784566,30.47359702,6.947482456,1,5.576923077,6.94629047,211.7147807
2024,7,ATL,SEA,kirkcousins,232,35,254.8260143,34.91373062,7.294221693,0.9722222222,6.628571429,7.298733472,254.6684913
2024,7,BAL,TB,lamarjackson,281,22,247.4279261,30.34055278,8.160692325,1,12.77272727,8.15502367,247.5999162
2024,7,BUF,TEN,joshallen,323,33,204.9764362,27.88859711,7.361063034,1,9.787878788,7.349829588,205.2897212
2024,7,CAR,WAS,andydalton,93,16,185.0047198,30.68969354,5.998600979,0.8888888889,5.8125,6.028236142,184.0952257
2024,7,CIN,CLE,joeburrow,181,25,211.8695603,31.65903858,6.792836726,1,7.24,6.692229766,215.05468
2024,7,DEN,NO,bonix,164,26,185.7902169,30.3932686,6.135696067,1,6.307692308,6.112873853,186.4838586
2024,7,DET,MIN,jaredgoff,280,25,256.4273136,32.02999419,8.016247472,1,11.2,8.005849522,256.7603599
2024,7,GB,HOU,jordanlove,220,33,225.7719804,31.6838331,7.099492484,1,6.666666667,7.125778616,224.939135
2024,7,HOU,GB,cjstroud,86,21,229.1898542,30.13982462,7.602663757,1,4.095238095,7.604219901,229.1429523
2024,7,IND,MIA,anthonyrichardson,129,24,203.7733471,25.49584522,7.985040811,1,5.375,7.992413873,203.5853646
2024,7,JAX,NE,trevorlawrence,193,20,210.6899789,29.96010428,7.062312851,1,9.65,7.032351321,211.5876295
2024,7,KC,SF,patrickmahomes,154,27,225.2365653,31.51445948,7.154105706,1,5.703703704,7.147086416,225.4577744
2024,7,LAC,ARI,justinherbert,349,39,205.115139,30.20380986,6.793642634,1,8.948717949,6.7910353,205.1938904
2024,7,LAR,LV,matthewstafford,154,23,255.0343697,34.57486394,7.36944525,1,6.695652174,7.376294239,254.7975668
2024,7,MIN,DET,samdarnold,259,27,185.1152996,29.88706635,6.153165389,1,9.592592593,6.193826367,183.9000622
2024,7,NE,JAX,drakemaye,276,37,141.0621137,21.83076326,6.420143184,1,7.459459459,6.461620786,140.156626
2024,7,NYJ,PIT,aaronrodgers,276,39,203.7677098,32.7850867,6.220174103,1,7.076923077,6.21525609,203.9289473
2024,7,PHI,NYG,jalenhurts,114,14,239.5959835,33.5984265,7.143052429,0.9333333333,8.142857143,7.131166798,239.995322
